"DRAFT RACE SCHEDULES, as at 5:24PM on Saturday 19th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Progression
A,08:30,1,Womens masters C double sculls,final,A,""
B,08:35,2,Mens masters D single,heat,1,"1-3=F + 2 NF"
C,08:40,2,Mens masters D single,heat,2,"1-3=F + 2 NF"
D,08:45,3,Womens masters F coxless quad sculls,final,A,""
E,08:50,5,Mens masters F double sculls,final,A,""
F,08:55,6,Womens masters D single,final,A,""
G,09:00,7,Mens masters A-C coxless pair,final,A,""
H,09:05,8,Womens masters B coxless quad sculls,final,A,""
I,09:10,9,Womens masters A single,final,A,""
J,09:15,10,Mens masters E coxless pair,final,A,""
K,09:20,11,Womens masters I single,final,A,""
K,09:20,12,Womens masters G double sculls,final,A,""
K,09:20,13,Womens masters H single,final,A,""
L,09:25,14,Womens masters E coxless quad sculls,final,A,""
M,09:30,15,Mens masters G-M coxed eight,final,A,""
N,09:35,2,Mens masters D single,final,A,""
O,10:10,19,Womens new master coxed quad sculls,final,A,""
P,10:15,20,Womens novice master coxed quad sculls,final,A,""
Q,10:20,21,Single (P),final,A,""
R,10:25,22,Mens masters B double sculls,final,A,""
S,10:30,23,Mens new master coxed quad sculls,final,A,""
T,10:35,25,Mens masters A single,final,A,""
U,10:40,26,Mixed masters G-M double sculls,final,A,""
V,10:45,27,Mens masters C single,final,A,""
W,10:50,28,Mixed masters D-F coxless quad sculls,division,1,""
X,10:55,28,Mixed masters D-F coxless quad sculls,division,2,""
Y,11:00,28,Mixed masters D-F coxless quad sculls,division,3,""
Z,11:05,29,Womens masters A-C coxed eight,final,A,""
A,11:40,34,Womens masters D double sculls,heat,1,"1-3=F + 2 NF"
B,11:45,34,Womens masters D double sculls,heat,2,"1-3=F + 2 NF"
C,11:50,33,Mens masters G-M coxless four,final,A,""
C,11:50,35,Womens masters G-M coxless four,final,A,""
D,12:00,36,Womens masters E coxless pair,final,A,""
D,12:00,37,Womens masters F single,final,A,""
E,12:05,38,Mixed masters A-C coxless quad sculls,division,1,""
F,12:10,38,Mixed masters A-C coxless quad sculls,division,2,""
G,12:25,39,Mens masters D-F coxed eight,final,A,""
H,12:30,34,Womens masters D double sculls,final,A,""
I,13:05,44,Womens masters B single,final,A,""
J,13:10,45,Womens masters A double sculls,final,A,""
K,13:15,46,Womens masters C single,final,A,""
L,13:20,47I,Inclusion masters double sculls,final,A,""
M,13:25,48,Mens masters C coxless quad sculls,final,A,""
N,13:30,49,Mens masters B single,final,A,""
O,13:35,50,Mixed new master double sculls,division,1,""
P,13:40,50,Mixed new master double sculls,division,2,""
Q,13:45,50,Mixed new master double sculls,division,3,""
R,13:50,51,Mixed novice master double sculls,final,A,""
S,13:55,53,Mixed masters D-F coxed eight,final,A,""
T,14:00,52,Mixed masters G-M coxless quad sculls,final,A,""
U,14:35,57,Mens masters F coxless pair,final,A,""
V,14:40,58,Mens masters E single,final,A,""
W,14:45,60,Womens masters E single,final,A,""
X,14:50,62,Mens masters G-M coxless pair,final,A,""
Y,14:55,63,Womens new master single,final,A,""
Z,15:00,64,Womens novice master double sculls,final,A,""
A,15:10,61,Womens masters G coxless quad sculls,final,A,""
A,15:10,65,Mixed masters E-M coxless four,final,A,""
B,15:15,66,Womens masters H-M double sculls,final,A,""
C,15:20,67,Mixed masters A-D coxless four,division,1,""
D,15:25,67,Mixed masters A-D coxless four,division,2,""
E,15:30,68,Mens new master single,final,A,""
F,15:35,69,Mens novice master double sculls,final,A,""

DAY 2: Sunday 20th September 2026
Race,Time,Event #,Event Type,Round,Division,Progression
